publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 11, 2020",The New York Times,N.Y. Creates 'Containment Zone' Limiting Large Gatherings ...,https://www.nytimes.com/2020/03/10/nyregion/coronavirus-new-york-update.html,N.Y.; New Rochelle; Indiana; Westchester County; Oregon; New York; Manhattan,neutral,preventable,religious communities; businesses,containment,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests agency by focusing on containment measures, implying that the spread can be managed through these actions.","The article treats the situation as a logistical issue, focusing on containment and closures rather than personal or communal impact."
,The New York Times · The New York Times,Video: What the Impact of Coronavirus Looks Like From Space,https://www.nytimes.com/video/world/asia/100000007013566/coronavirus-satelliteimages.html,"Ukraine; Russia; Mozambique; Northern Ireland; Indiana; South Sudan

Advertisement Skip Advertisement; Gaza",indifferent,inevitable,,storm; fight for survival,impact; after the storm,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign responsibility for COVID deaths, suggesting they were unavoidable.","The article implicitly treats death as a statistic or an impact, rather than a personal tragedy."
"Mar 18, 2020",The New York Times,'All Around Us Is Chaos': Inside a Rural Town Upended by ...,https://www.nytimes.com/2020/03/17/us/kentucky-coronavirus.html,Seattle; Maine; Oregon; Delaware; China; Washington; E.R.; Indiana,tragic,political failure,elderly; working-class; healthcare workers; general public,chaos; gray area; run-around; hunker down; survival,,poverty; racism; long COVID; workplace safety,communal,"The article assigns responsibility to the federal government for failing in early testing and containment, suggesting the deaths were preventable.","The article implicitly treats death as a political talking point, highlighting the government's failure and the resulting chaos."
"Mar 30, 2020",The New York Times,"Days After a Funeral in a Georgia Town, Coronavirus 'Hit ...",https://www.nytimes.com/2020/03/30/us/coronavirus-funeral-albany-georgia.html,Albany; Maine; Tonya; Indiana; Ga.; Georgia,tragic,personal tragedy,elderly; family,hit; torn through,released from an isolation ward,systemic factors; healthcare access; government response,communal,"The article suggests the virus was brought to the funeral by an unknown person, implying a sense of unavoidable tragedy rather than assigning blame.",The article treats death as a personal and communal loss rather than a statistic or political talking point.
"Mar 16, 2020",The New York Times,"As Coronavirus Deepens Inequality, Inequality Worsens Its ...",https://www.nytimes.com/2020/03/15/world/europe/coronavirus-inequality.html,Oregon; Indiana,tragic,systemic injustice,working-class; lower economic strata,feedback loop; multiplier,,racial minorities; elderly; disabled; healthcare access; workplace safety,absent,The article suggests systemic factors like economic inequality are responsible for exacerbating COVID deaths.,"The article treats death as a consequence of systemic failure, highlighting it as a statistic linked to inequality."
,The New York Times · The New York Times,"Video: As the Coronavirus Approaches, Mexico Looks the ...",https://www.nytimes.com/video/world/americas/100000007049738/as-coronavirus-approaches-mexico-president-looks-other-way.html,Mexico; Louisiana; Delaware; Milan; New Delhi; United States; Indiana; The United States; O.E.C.D.; Mexico City; South Korea; New York; El Salvador; Italy; Madrid; Mexico City’S,indifferent,political failure,flight attendants; doctors; political leaders,petri dish,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article assigns responsibility to political leaders, particularly President Andrés Manuel López Obrador, for not taking sufficient measures to prevent the spread of COVID-19.","The article treats death as a political talking point, focusing on the lack of response and resources rather than individual or communal grief."
"Mar 26, 2020",The New York Times,'The Other Option Is Death': New York Starts Sharing of ...,https://www.nytimes.com/2020/03/26/health/coronavirus-ventilator-sharing.html,The United States; Italy; Las Vegas; Indiana; New York,neutral,preventable,patients; doctors; federal and state governments; hospitals,desperate measure; surge,ventilator sharing,poverty; racial minorities; elderly; disabled; healthcare access,absent,"The article suggests that the shortage of ventilators is a systemic issue, implying a lack of preparedness and resource allocation.",The article treats death as a statistic and a logistical challenge to be managed.
"Mar 12, 2020",The New York Times,A Grim Landmark as Official Death Toll in China Tops ...,https://www.nytimes.com/2020/02/10/world/asia/coronavirus-china.html,Hubei; Indiana; China,tragic,inevitable,Chinese officials,grim landmark,,elderly; racial minorities; healthcare access; systemic factors,absent,"The article does not assign specific responsibility, suggesting the deaths were part of an ongoing epidemic.",The article treats death as a statistic.
"Mar 20, 2020",The New York Times,Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/03/20/us/coronavirus-today.html,Indiana; Mexico; Oregon; South Korea; China; Canada; Connecticut; United States; Illinois; New York,neutral,inevitable,"residents of California, New York, Illinois and Connecticut; Americans",epicenter,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign direct responsibility for COVID deaths, suggesting the situation is a result of the outbreak's spread and testing efforts.","The article treats the situation as a statistic and political talking point, focusing on numbers and policy responses."
"Mar 6, 2020",The New York Times,Why Washington State? How Did It Start? Questions ...,https://www.nytimes.com/2020/03/04/us/coronavirus-in-washington-state.html,Seattle; Super; Oregon; Kirkland; China; Washington; The West Coast; California; King County; Wuhan; United States; Snohomish County; Indiana; The United States; Biden; Maine; Oklahoma; Washington State; Atlanta; Bloomberg; South Korea,tragic,political failure,elderly; nursing home residents; healthcare workers; family members,disaster; outbreak; epicenter,,poverty; racism; long COVID; workplace safety; healthcare access,communal,"The article suggests political and systemic failures, particularly in testing and containment strategies, are responsible for the outbreak and subsequent deaths.","The article treats death as a statistic and a political talking point, especially in the context of testing failures and governmental response."
"Mar 19, 2020",The New York Times,"My Life on Italy's Coronavirus Frontlines, and in Quarantine",https://www.nytimes.com/2020/03/19/world/europe/italy-coronavirus-frontlines-quarantine.html,Quarantine; Maine; Oregon; Italy; Indiana; New York; Claudia,neutral,inevitable,elderly,jail; disembodied voice,,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,private,"The article does not assign explicit blame or agency, suggesting the situation is unavoidable.",The article treats the situation as a personal narrative rather than a statistic or political talking point.
"Mar 16, 2020",The New York Times,Hackers Attack Health and Human Services Computer ...,https://www.nytimes.com/2020/03/16/us/politics/coronavirus-cyber.html,Iran; Indiana; United States; Oregon; Iraq; Washington,neutral,political failure,,war; fight,,COVID-19 deaths; healthcare access; public health impact; vulnerable populations,absent,The article suggests potential blame on foreign actors or opportunistic hackers but does not directly assign responsibility for COVID deaths.,The article treats the situation as a political and security issue rather than focusing on human impact or loss of life.
"Mar 21, 2020",The New York Times,Red vs. Blue on Coronavirus Concern: The Gap Is Still Big ...,https://www.nytimes.com/interactive/2020/03/21/upshot/coronavirus-public-opinion.html,Civiqs; Washington State; Austin; Oregon; Britain; Washington; America; United States; Indiana,neutral,political failure,Republicans; Democrats; Fox News viewers; Washington State residents,refracted through pure partisanship; party gap; politicized threat,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that partisanship and political leadership are responsible for the initial differences in concern about COVID-19.,"The article treats death as a political talking point, focusing on partisan differences rather than the human cost."
"Mar 11, 2020",The New York Times,Italy Locks Down Much of the Country's North Over ...,https://www.nytimes.com/2020/03/07/world/europe/coronavirus-italy.html,Europe; Italy; Indiana; Rome; China,urgent,sacrifice,Italian population; economic engine,sacrifice; ravages; defeat,,elderly; healthcare access; poverty; racial minorities,absent,"The article suggests that restrictive measures are necessary, implying that the virus is the primary agent of harm.","The article treats the situation as a political and economic issue, focusing on the impact on the economy rather than individual lives."
"Mar 14, 2020",The New York Times,How to Protect Older People From the Coronavirus,https://www.nytimes.com/2020/03/14/health/coronavirus-elderly-protection.html,Indiana; China,neutral,preventable,older people; people over 60; patients over 80,,fatalities; life-threatening disease,poverty; elder neglect; healthcare access; long COVID,absent,"The article suggests that deaths are preventable through precautions, implying some agency in protecting older people.",The article treats death as a statistic by focusing on death rates and percentages.
"Mar 13, 2020",The New York Times,How Coronavirus Hijacks Your Cells,https://www.nytimes.com/interactive/2020/03/11/science/how-coronavirus-hijacks-your-cells.html,Oregon; Indiana,neutral,inevitable,,hijacking; bubble; crownlike spikes,the cell finally breaks down and dies,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article does not assign responsibility for COVID deaths and suggests the spread of the virus is a natural process.,"The article treats death as a biological outcome of viral infection, focusing on the scientific process rather than the human cost."
"Mar 10, 2020",The New York Times,"For Me, Rewatching 'Contagion' Was Fun, Until It Wasn't",https://www.nytimes.com/2020/03/10/movies/contagion-movie-coronavirus.html,Minneapolis; The United States; Tokyo; Soderbergh; Oregon; Indiana; Hong Kong,other,other,Hong Kong villagers; white lady; nurses,war; fight; disaster,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,Does not assign specific blame; suggests a sense of paranoia and inevitability,treats death as a statistic
"Mar 17, 2020",The New York Times,Second Death From Virus Is Reported in the U.S.,https://www.nytimes.com/2020/03/01/world/coronavirus-news.html,Wash.; Seattle; Washington State; Kirkland; King County; The United States; United States; Indiana; Renton,neutral,inevitable,elderly; nursing facility residents; healthcare workers,,underlying health conditions,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article does not assign blame or agency, suggesting the deaths were unavoidable due to underlying health conditions.","The article treats death as a statistic, focusing on the number of cases and deaths."
"Mar 12, 2020",The New York Times,How the Coronavirus May Force Doctors to Decide Who ...,https://www.nytimes.com/2020/03/12/opinion/coronavirus-hospital-shortage.html,Oregon; Indiana,tragic,inevitable,elderly; people with serious underlying health conditions; children; frontline health workers; first responders,specter; abandoning; crushed; betrayed,denial of potentially lifesaving treatment; tragic choices,poverty; racism; healthcare access; long COVID; workplace safety,communal,"The article suggests that COVID-19, not humans, forces these tragic choices, implying the deaths are unavoidable.","The article treats death as a statistic and a cost of doing business, particularly in the context of vaccine distribution and resource allocation."
"Mar 20, 2020",The New York Times,A Hospital Ship for N.Y.C.,https://www.nytimes.com/2020/03/19/nyregion/coronavirus-nyc.html,New York Harbor; Indiana; New York,neutral,inevitable,,war; disaster,,elderly; racial minorities; working-class; healthcare access; long COVID,absent,"The article suggests the deaths and the situation are unavoidable, focusing on logistical responses rather than assigning blame.","The article implicitly treats the situation as a logistical challenge, focusing on hospital capacity and infrastructure rather than individual lives."
"Mar 9, 2020",The New York Times,"Inside Trump Administration, Debate Raged Over What to ...",https://www.nytimes.com/2020/03/07/us/politics/trump-coronavirus.html,The United States; India; New Delhi; Indiana; Washington,neutral,political failure,government officials; public; children,disruption,disruption to everyday life; significant disruption to our lives,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests a lack of decisive action by the Trump administration, implying political responsibility for the mishandling of the outbreak.","The article treats the situation as a political issue, focusing on administrative actions and decisions rather than human impact."
"Mar 24, 2020",The New York Times,"Trump Considers Reopening Economy, Over Health ...",https://www.nytimes.com/2020/03/23/business/trump-coronavirus-economy.html,Los Angeles; N’T; China; Washington; California; Wuhan; United States; The United States; Indiana; Montana; Maine; Iran; New York City; Helena; Netherlands; Italy; New York; United Kingdom; Seattle; Louisiana; Virginia; Oregon; Britain; New York State; Florida; Wheeling West; South Florida; South Korea; America; The South China Morning Post; Elderly; Ohio,tragic,political failure,elderly; those with pre-existing conditions; healthcare workers; emergency workers,war; battle; magic wand; genie out of the bottle; horses have left the barn,second week crash; crash even after they thought they were starting to get better,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,public,"The article assigns responsibility to the U.S. government's inadequate response and lack of preparedness, highlighting political decisions and systemic failures.","The article treats death as a statistic and a political talking point, focusing on numbers and potential outcomes rather than individual stories."
"Mar 10, 2020",The New York Times,We Don't Need to Close Schools to Fight the Coronavirus,https://www.nytimes.com/2020/03/10/opinion/coronavirus-school-closing.html,Oregon; The United States; Italy; Japan; Indiana,neutral,inevitable,children; parents; communities,fight,,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests that school closures may not be effective in preventing COVID deaths, implying that such measures might be unnecessary or ineffective.","The article treats death as a potential outcome to be weighed against the disruption of daily life, suggesting a cost-benefit analysis approach."
"Mar 21, 2020",The New York Times,Hundreds Exposed to Coronavirus on Cruise Ship Fly Home,https://www.nytimes.com/2020/03/20/us/coronavirus-cruise-ship-costa-luminosa.html,Atlanta; The United States; Fla.; Indiana,tragic,preventable,passengers; health officials,debacle; harrowing; chaotic; frightening,evacuation and journey back,cruise company responsibility; government response; healthcare access; socioeconomic status,absent,"The article implies a lack of preparedness and coordination by health officials and possibly the cruise company, suggesting the situation was preventable.","The article treats the situation as a chaotic event rather than focusing on individual deaths, emphasizing the logistical challenges over personal loss."
"Mar 11, 2020",The New York Times,"Coronavirus Has Become a Pandemic, W.H.O. Says",https://www.nytimes.com/2020/03/11/health/coronavirus-pandemic-who.html,Indiana,neutral,inevitable,health care workers,alarm bell; common threat,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests a collective responsibility to act by calling for countries to learn from each other and protect one another.,"The article treats the pandemic as a global health issue, focusing on containment and response strategies rather than individual deaths."
"Mar 19, 2020",The New York Times,Virus Hits Europe Harder Than China. Is That the Price of ...,https://www.nytimes.com/2020/03/19/world/europe/europe-china-coronavirus.html,Europe; Italy; Indiana; China,tragic,inevitable,Europeans; Chinese,macabre milestones; price,,poverty; healthcare access; elderly; racial minorities; working-class; long COVID,absent,"The article suggests that Europeans are paying a price for their lifestyle and governance, implying some level of responsibility due to cultural and political factors.",The article treats death as a statistic and a comparative measure between regions.
"Mar 2, 2020",The New York Times,Why the Coronavirus Seems to Hit Men Harder Than Women,https://www.nytimes.com/2020/02/20/health/coronavirus-men-women.html,Oregon; Indiana; Weibo; China,tragic,political failure,Chinese citizens; government; authorities; Dr. Li Wenliang,fight; wave; landscape; resistance,overwhelmed hospitals; personal stories,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,public,"The article assigns responsibility to the Chinese government for censorship and lack of free speech, indirectly suggesting that these actions contributed to the severity of the crisis.",The article treats Dr. Li's death as a political talking point and a catalyst for the freedom of speech movement.
"Mar 24, 2020",The New York Times,Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/03/24/us/coronavirus-today.html,Tokyo; Indiana; India; United States,neutral,inevitable,public health experts; Conservatives; Wall Street executives,wildly out of control; magic wand,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests that easing restrictions too soon would be disastrous, implying responsibility on those advocating for early reopening.",The article treats death as a potential statistic that could 'skyrocket' if restrictions are lifted too soon.
"Mar 26, 2020",The New York Times,Coronavirus on Long Island: 6 Die in Outbreak at ...,https://www.nytimes.com/2020/03/26/nyregion/coronavirus-peconic-landing-nursing-home.html,Long Island Sound; Oregon; Indiana; Outbreak; The North Fork Of Long Island,tragic,preventable,elderly; employees,scene of emergency; spreading anxiety,die naturally,poverty; healthcare access; systemic elder neglect,private,"The article suggests that inadequate protective measures and management decisions contributed to the deaths, implying they were preventable.",The article implicitly treats death as a statistic and a risk factor in managing the outbreak.
"Mar 9, 2020",The New York Times,"Deaths Surpass 200, and State Department Urges Against ...",https://www.nytimes.com/2020/01/30/world/asia/coronavirus-china.html,The United States; Wuhan; Oregon; Indiana; Chicago; China,neutral,inevitable,elderly,epicenter,showing symptoms; infected with the coronavirus,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests the deaths were unavoidable, emphasizing low risk to the public and expected transmission patterns.","The article treats death as a statistic and a public health concern, focusing on transmission and risk assessment."
"Mar 25, 2020",The New York Times,A Man Coughed on a Wegmans Employee. Now He's ...,https://www.nytimes.com/2020/03/25/us/coronavirus-terrorism-nj.html,Freehold; Manalapan; New Jersey; Indiana; N.J.,other,political failure,supermarket employees,terroristic threat,,elderly; racial minorities; working-class; healthcare access; systemic injustice,absent,"The article assigns responsibility to the individual, George Falcone, for his actions.","The article treats the incident as a legal issue and a public safety concern, rather than focusing on the potential health impact or personal tragedy."
"Mar 9, 2020",The New York Times,Some Hospitals Are Close to Running Out of Crucial Masks ...,https://www.nytimes.com/2020/03/09/health/coronavirus-n95-face-masks.html,Oregon; Grady; Indiana; China,neutral,inevitable,health care workers; doctors; nurses; patients,surges; stockpile,,racial minorities; elderly; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests the deaths and shortages are inevitable due to systemic issues like supply chain limitations and pandemic preparedness.,"The article treats the issue of mask shortages and potential health worker deaths as a logistical and statistical problem, focusing on numbers and supply chains."
"Mar 24, 2020",The New York Times,"Trump Wants U.S. 'Opened Up' by Easter, Despite Health ...",https://www.nytimes.com/2020/03/24/us/politics/trump-coronavirus-easter.html,India; Oregon; Davos; China; Washington; California; United States; Indiana; The United States; The United States Of America; Iraq; Japan; South Korea; America; New York City; Europe; Easter; Ohio; New York,indifferent,political failure,elderly; working-class; economists; politicians,war; fight; disease,lose people; instability; not built that way,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests political leadership, particularly President Trump, is responsible for the handling of COVID-19, implying a failure to take timely action.","The article treats death as a political talking point and statistic, focusing on economic impacts over human loss."
"Mar 5, 2020",The New York Times,Coronavirus Testing Offered With Just a Doctor's Approval ...,https://www.nytimes.com/2020/03/04/health/coronavirus-test-demand.html,California; Calif.; Indiana; Stanislaus County; Oregon; Modesto,neutral,systemic injustice,patients; doctors; public health officials,avalanche of requests,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests systemic failure in testing capacity and hints at political responsibility by mentioning the Trump administration's promises.,"The article treats testing as a logistical issue, potentially reducing the human impact to a matter of capacity and statistics."
"Mar 26, 2020",The New York Times,There Aren't Enough Ventilators to Cope With the ...,https://www.nytimes.com/2020/03/18/business/coronavirus-ventilator-shortage.html,The United States; France; Italy; Indiana; Switzerland; China,tragic,political failure,patients; governors; European governments,wartime-mobilization,,poverty; racial minorities; healthcare access; elderly; disabled,absent,The article assigns responsibility to the federal government and President Trump for the slow response and lack of a national strategy.,The article implicitly treats death as a statistic by focusing on the number of ventilators needed and the cost of machines.
"Mar 3, 2020",The New York Times,Coronavirus in New York: 2 More Possible Cases in City ...,https://www.nytimes.com/2020/02/02/nyregion/coronavirus-new-york-city.html,Queens; New Jersey; Louisiana; Oregon; China; Flushing; Hubei; New York City; The United States; New York City’S; Wuhan; Indiana; New York,neutral,inevitable,elderly; foreign nationals; American citizens,,patient under investigation,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests the deaths are unavoidable by focusing on procedural responses and restrictions.,"The article treats the situation as a procedural and policy issue, focusing on quarantine and travel restrictions rather than personal impact."
"Mar 11, 2020",The New York Times,First U.S. Colleges Close Classrooms as Virus Spreads. ...,https://www.nytimes.com/2020/03/06/us/coronavirus-college-campus-closings.html,Asia; Los Angeles; Seattle; Chicago; Europe; Italy; United States; Tennessee; Indiana,neutral,inevitable,students; university staff,spread; outbreak,,elderly; racial minorities; working-class; healthcare access; long COVID,absent,The article does not assign blame; it suggests the spread is inevitable and institutions are reacting to it.,"The article treats the situation as a logistical challenge for educational institutions, focusing on operational adjustments rather than the human cost."
"Mar 16, 2020",The New York Times,"Trump Urges Limits Amid Pandemic, but Stops Short of ...",https://www.nytimes.com/2020/03/16/us/politics/trump-coronavirus-guidelines.html,The United States; France; Maine; Spain; Italy; Indiana; Washington,neutral,political failure,nursing homes; long-term care facilities,war; fight,hold the death down,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article suggests a lack of sufficient action by the Trump administration, implying that more stringent measures could prevent deaths.",Death is treated as a statistic to be minimized through effective action.
"Mar 9, 2020",The New York Times,How Prepared Is the U.S. for a Coronavirus Outbreak?,https://www.nytimes.com/2020/02/29/health/coronavirus-preparation-united-states.html,Oregon; The United States; Indiana; United States,neutral,inevitable,critically ill people; doctors,flooded; life-or-death decisions,desperately sick,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests the potential shortfall in ventilators is a systemic issue but does not assign blame to specific entities.,The article treats potential deaths as a statistic related to healthcare capacity and preparedness.
"Mar 18, 2020",The New York Times,Some Ask a Taboo Question: Is America Overreacting to ...,https://www.nytimes.com/2020/03/16/us/coronavirus-hype-overreaction-social-distancing.html,Oregon; Indiana,neutral,preventable,elderly; college students; parents; students who depend on free lunch; marginalized groups,trade-offs; groupthink,mounting coronavirus death toll,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests that the consequences of social distancing measures, including potential deaths from economic contraction, are a result of policy decisions, implying some level of agency and responsibility.",The article treats death as a statistic and a part of the cost-benefit analysis of social distancing measures.
"Mar 19, 2020",The New York Times,"On Day 1 of Lockdown, Italian Officials Urge Citizens to ...",https://www.nytimes.com/2020/03/08/world/europe/italy-coronavirus-quarantine.html,Milan; D.J.; Indiana,neutral,preventable,Italians; party promoters; loved ones,hedges in a steeplechase course; plague spreader,,elderly; racial minorities; healthcare workers; long COVID; healthcare access,absent,The article suggests that individuals have agency and responsibility to prevent COVID deaths by following restrictions.,The article treats death as a consequence to be avoided through personal responsibility and adherence to rules.
"Mar 22, 2020",The New York Times,Trump Didn't Know People Could Die From the Flu. His ...,https://www.nytimes.com/2020/03/22/opinion/fred-trump-spanish-flu.html,Oregon; Indiana; New York’S; Maine,tragic,inevitable,young; old; healthy middle years,curve; cesspool,routine ailments; didn't seem real,poverty; racism; healthcare access; long COVID; workplace safety,private,The article suggests deaths were unavoidable due to the era's commonality of deadly diseases and lack of awareness.,Death is treated as a historical statistic and a genealogical footnote.
"Mar 26, 2020",The New York Times,Coronavirus Threatens an Already Strained Maternal ...,https://www.nytimes.com/2020/03/26/us/coronavirus-pregnancy-maternal-health-system.html,Oregon; California; The United States; Indiana,tragic,systemic injustice,homeless; women; Black community; Medicaid recipients,threatens; struggles to respond,,poverty; racism; healthcare access; maternal mortality,private,"The article implies systemic issues in healthcare access and response to COVID-19, but does not explicitly assign blame.","The article treats the situation as a systemic issue affecting many, rather than focusing on individual stories of loss."
"Mar 6, 2020",The New York Times,Coronavirus School Closings: Don't Wait Until It's Too Late,https://www.nytimes.com/2020/03/06/opinion/coronavirus-schools-closed.html,The United States; Mexico; Michigan; Oregon; Indiana,neutral,preventable,school officials; public health agencies; municipal leaders,better safe than sorry; tough call,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that timely decision-making by school officials and public health agencies can prevent the spread of COVID-19.,The article treats death as a statistic and focuses on the effectiveness of NPIs rather than individual or communal loss.
"Mar 27, 2020",The New York Times,Senate Debates $1 Trillion Rescue Plan; States Tell ...,https://www.nytimes.com/2020/03/20/world/coronavirus-news-usa-world.html,Indiana; Maine; Oregon; Hong Kong; New York City; United States; The United States; New York; Manhattan,neutral,inevitable,business owners; immigrants; working-class,disaster,,COVID-19 deaths; healthcare access; long COVID; elder neglect,absent,The article suggests the situation is unavoidable due to government measures and public fear.,Death is not directly addressed; the focus is on economic impact and business survival.
"Mar 19, 2020",The New York Times,Gov. Gavin Newsom of California Orders Californians to ...,https://www.nytimes.com/2020/03/19/us/California-stay-at-home-order-virus.html,California; Los Angeles; Indiana; Sacramento; Oregon; New York; America,urgent,preventable,Californians; emergency workers,disaster,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article implies that the responsibility for preventing COVID deaths lies with the government and individuals following the stay-at-home order.,"The potential number of infections is presented as a statistic, emphasizing the scale of the threat."
"Mar 13, 2020",The New York Times,The Exponential Power of Now,https://www.nytimes.com/2020/03/13/science/coronavirus-math-mitigation-distancing.html,Indiana; Wuhan; China; United States,neutral,inevitable,,exponential spread,grim situation evolving,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests that the deaths were inevitable due to the exponential spread of the virus, with indirect criticism of political leaders for downplaying the seriousness.",Death is implicitly treated as a statistic through the focus on numbers and exponential spread.
"Mar 17, 2020",The New York Times,Watch the Footprint of Coronavirus Spread Across Countries,https://www.nytimes.com/interactive/2020/climate/coronavirus-pollution.html,Hubei Province; South Korea’S; Oregon; China; Mediterranean Sea; Milan; Wuhan; Indiana; Venice; Rome; Japan; South Korea; Italy; France; Mediterranean Sea Mediterranean Sea; Tokyo; Seoul; Beijing,neutral,inevitable,general population; Italians; Chinese; South Koreans,footprint; impact seen from space,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article does not assign direct responsibility for COVID deaths, suggesting the deaths were unavoidable due to the pandemic's nature.",The article implicitly treats death as a statistic by focusing on pollution reduction and economic impacts rather than human loss.
"Mar 27, 2020",The New York Times,Opinion | It's Time to Talk About Death and Coronavirus,https://www.nytimes.com/2020/03/27/opinion/covid-end-of-life.html,Oregon; Los Angeles; Indiana,tragic,personal tragedy,elderly; families,disembodied; face on a screen,getting sicker,systemic healthcare issues; elder neglect; long COVID; healthcare access,private,"The article does not assign blame or agency, suggesting the deaths are unavoidable due to the circumstances.",The article treats death as a personal tragedy rather than a statistic or political talking point.
"Mar 13, 2020",The New York Times,A Rare Look Inside the Hospital Where 15 Coronavirus ...,https://www.nytimes.com/2020/03/11/us/coronavirus-kirkland-hospital-seattle.html,Wash.; The United States; Seattle; Indiana; Kirkland,tragic,inevitable,elderly; medical workers,brunt; cascade; edges of their capabilities,come through the hospital; devastated by the illness,poverty; racism; healthcare access; long COVID; workplace safety,absent,The article suggests the deaths were unavoidable due to the virulence of the virus and systemic challenges.,The article treats death as a statistic and a challenge for the healthcare system.
"Mar 27, 2020",The New York Times,N.Y.C. Death Toll Hits 365 as Case Count Tops ...,https://www.nytimes.com/2020/03/26/nyregion/coronavirus-new-york-update.html,Indiana; Maine; Oregon; New York; Allia,tragic,systemic injustice,children; homeless; disabled; elderly,isolation; contagion,get hurt; get it,poverty; healthcare access; government support,private,"The article suggests systemic failures, such as lack of internet access and inadequate living conditions, contribute to the hardships faced by the family.",The article does not explicitly commodify death but highlights the struggles of daily life during the pandemic.
"Mar 12, 2020",The New York Times,"An American Dies From the Virus in Wuhan, China",https://www.nytimes.com/2020/02/07/world/asia/coronavirus-china.html,China; Wuhan; United States; Indiana; Beijing,neutral,personal tragedy,American; family,,loss,elderly; healthcare access; racism; systemic factors; long COVID,private,"The article does not assign responsibility, suggesting the death was unavoidable.","The death is treated as an isolated incident without broader context, potentially as a statistic."
"Mar 10, 2020",The New York Times,Afraid of Coronavirus? I Know What That Fear Is Like,https://www.nytimes.com/2020/03/10/opinion/coronavirus-disability-fear.html,Oregon; Indiana; New York; Maine,hopeful,personal tragedy,disabled,journey; companion; superpower,befriending my fear; channel this fear,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,private,"The article suggests that managing fear and taking calculated risks is a personal responsibility, implying that deaths are avoidable with the right actions.",The article does not treat death as a statistic or political talking point; it focuses on personal experiences and managing fear.
"Mar 31, 2020",The New York Times,'Jails Are Petri Dishes': Inmates Freed as the Virus Spreads ...,https://www.nytimes.com/2020/03/30/us/coronavirus-prisons-jails.html,Indiana; Rikers Island; Louisiana; Virginia; Chicago; America; New York City; Michigan; Cook County; Illinois,tragic,systemic injustice,incarcerated people; prison employees; immigrant detainees,petri dishes,,poverty; racism; healthcare access,absent,The article suggests systemic failure in the prison system and lack of adequate measures to protect inmates and staff.,"The article treats death as a statistic and a political talking point, highlighting numbers and cases rather than individual stories."
